,vocab
0,amusing
1,angry
2,athletic
3,attractive
4,beautiful
5,boring
6,brave
7,careful
8,careless
9,charming
10,clever
11,confident
12,crafty
13,crazy
14,creative
15,cruel
16,cute
17,dangerous
18,dependable
19,easygoing
20,energetic
21,exciting
22,famous
23,forgetful
24,friendly
25,good-looking
26,graceful
27,happy
28,helpful
29,horrible
30,humble
31,humorous
32,inconsiderate
33,interesting
34,likable
35,lucky
36,middle class
37,old
38,outgoing
39,overweight
40,poor
41,popular
42,practical
43,responsible
44,rich
45,romantic
46,sad
47,selfish
48,skinny
49,stingy
50,successful
51,talkative
52,thin
53,touchy
54,ugly
55,unlucky
56,wealthy
57,young
