,vocab
0,alligator
1,ant
2,bear
3,bee
4,bird
5,camel
6,cat
7,cheetah
8,chicken
9,chimpanzee
10,cow
11,crocodile
12,deer
13,dog
14,dolphin
15,duck
16,eagle
17,elephant
18,fish
19,fly
20,fox
21,frog
22,giraffe
23,goat
24,goldfish
25,hamster
26,hippopotamus
27,horse
28,kangaroo
29,kitten
30,leopard
31,lion
32,lizard
33,lobster
34,monkey
35,octopus
36,ostrich
37,otter
38,owl
39,oyster
40,panda
41,parrot
42,pelican
43,pig
44,pigeon
45,porcupine
46,puppy
47,rabbit
48,rat
49,reindeer
50,rhinoceros
51,rooster
52,scorpion
53,seal
54,shark
55,sheep
56,shrimp
57,snail
58,snake
59,sparrow
60,spider
61,squid
62,squirrel
63,swallow
64,swan
65,tiger
66,toad
67,tortoise
68,turtle
69,vulture
70,walrus
71,weasel
72,whale
73,wolf
74,zebra
