,vocab
0,ball
1,baseball cap
2,bat
3,batter
4,batter's box
5,batting average
6,catcher
7,catcher mitt
8,catcher's box
9,center fielder
10,chest protector
11,coach
12,day game
13,dugout
14,exhibition game
15,extra inning
16,face mask
17,farm team
18,fence
19,field umpire
20,first baseman
21,first baseman's glove
22,foul
23,foul line
24,four balls
25,game
26,glove
27,helmet
28,hit
29,home plate
30,home team
31,innings
32,left fielder
33,major league
34,minor league
35,night game
36,one ball
37,pitcher
38,pitcher's mound
39,plate umpire
40,play-off
41,right fielder
42,runner
43,scoreboard
44,second baseman
45,shin guards
46,short stop
47,spiked shoes
48,strike one
49,strike out
50,strike three
51,strike two
52,switch hitter
53,third baseman
54,three balls
55,two balls
56,visiting team
57,walk
