,vocab
0,ankle
1,arm
2,back
3,beard
4,blood
5,body
6,bone
7,brain
8,cheek
9,chest
10,chin
11,ear
12,ears
13,elbow
14,eye
15,eyes
16,face
17,feet
18,finger
19,fingers
20,flesh
21,foot
22,hair
23,hand
24,hands
25,head
26,heart
27,hip
28,knee
29,knees
30,leg
31,legs
32,lip
33,moustache
34,mouth
35,muscle
36,nail
37,neck
38,nose
39,shoulder
40,shoulders
41,skin
42,stomach
43,teeth
44,throat
45,thumb
46,thumbs
47,toe
48,toes
49,tongue
50,tooth
51,wrist
