,vocab
0,advantage
1,advertisement
2,advice
3,agenda
4,apology
5,authorization
6,bill
7,brand
8,budget
9,commission
10,comparison
11,competition
12,competitor
13,confirmation
14,costs
15,creditor
16,customer
17,deadline
18,debt
19,debtor
20,decision
21,decrease
22,deficit
23,delivery
24,department
25,description
26,difference
27,disadvantage
28,distribution
29,employee
30,employer
31,enquiry
32,environment
33,equipment
34,estimate
35,experience
36,explanation
37,facilities
38,factory
39,feedback
40,goal
41,goods
42,growth
43,guarantee
44,improvement
45,increase
46,industry
47,instructions
48,interest
49,inventory
50,invoice
51,knowledge
52,limit
53,loss
54,margin
55,market
56,message
57,mistake
58,objective
59,offer
60,opinion
61,option
62,order
63,output
64,payment
65,penalty
66,permission
67,possibility
68,product
69,production
70,profit
71,promotion
72,purchase
73,reduction
74,refund
75,reminder
76,repairs
77,report
78,responsibility
79,result
80,retailer
81,rise
82,risk
83,salary
84,sales
85,schedule
86,share
87,signature
88,stock
89,success
90,suggestion
91,supply
92,support
93,target
94,transport
95,turnover
96,wholesaler
