,vocab
0,accept
1,add
2,admit
3,advertise
4,advise
5,afford
6,approve
7,authorize
8,avoid
9,borrow
10,build
11,buy
12,calculate
13,cancel
14,change
15,charge
16,check
17,choose
18,complain
19,complete
20,confirm
21,consider
22,convince
23,count
24,decide
25,decrease
26,deliver
27,develop
28,discount
29,dismiss
30,dispatch
31,distribute
32,divide
33,employ
34,encourage
35,establish
36,estimate
37,exchange
38,extend
39,fix
40,fund
41,improve
42,increase
43,inform
44,install
45,invest
46,invoice
47,join
48,lend
49,lengthen
50,lower
51,maintain
52,manage
53,measure
54,mention
55,obtain
56,order
57,organize
58,owe
59,own
60,pack
61,participate
62,pay
63,plan
64,present
65,prevent
66,process
67,produce
68,promise
69,promote
70,provide
71,purchase
72,raise
73,reach
74,receive
75,recruit
76,reduce
77,refuse
78,reject
79,remind
80,remove
81,reply
82,resign
83,respond
84,return
85,rise
86,sell
87,send
88,separate
89,shorten
90,split
91,structure
92,succeed
93,suggest
