,vocab
0,bacon
1,beer
2,breakfast
3,buffet
4,cheese
5,chicken
6,chocolate
7,cloakroom
8,cook
9,cooking
10,course
11,cup
12,dessert
13,dining room
14,dinner
15,dish
16,environment
17,equipment
18,food
19,fork
20,freezer
21,glass
22,grill
23,hygienic
24,kitchen
25,knife
26,lunch
27,main course
28,meal
29,menu
30,napkin
31,pastry
32,pepper
33,plate
34,prepared
35,restaurant
36,rice
37,roast
38,salad
39,salt
40,sauce
41,sausages
42,secure
43,slices
44,soup
45,spoon
46,starter
47,tip
48,utensils
49,vegetables
50,vegetarian
51,waiter
52,waitress
53,water
54,weighed
55,wine
