,vocab
0,Advent
1,alleluia
2,angelic
3,angels
4,announcement
5,astrologers
6,babe
7,baby
8,Bethlehem
9,birth
10,camel
11,ceremonies
12,Christ Child
13,creche
14,donkey
15,Emmanuel/Immanuel
16,Epiphany
17,flocks
18,frankincense
19,gifts
20,Gloria
21,gold
22,goodwill
23,holy
24,incarnation
25,inn
26,Jerusalem
27,Jesus
28,Joseph
29,Lord
30,Magi
31,manager
32,Mary
33,miracle
34,myrrh
35,nativity
36,pageant
37,Prince of Peace
38,proclamation
39,prophecy
40,sacred
41,Savior
42,shepherds
43,stable
44,star
45,wise men
