,vocab
0,airport
1,anymore
2,anyplace
3,anything
4,anywhere
5,armchair
6,backache
7,background
8,backpack
9,basketball
10,bathrobe
11,bathtub
12,battleship
13,bedroom
14,beeline
15,birthday
16,blackboard
17,bookcase
18,booklet
19,bookshelf
20,bookworm
21,briefcase
22,buttercup
23,butterfly
24,campfire
25,campground
26,candlestick
27,cardboard
28,carpet
29,chopstick
30,classmate
31,clockwise
32,courtyard
33,cowboy
34,cupboard
35,cutlet
36,daredevil
37,daydream
38,dishwasher
39,dishwater
40,doorbell
41,doormat
42,doorstep
43,doorstop
44,doorway
45,dragonfly
46,droplet
47,earache
48,earrings
49,evergreen
50,everybody
51,everyday
52,eyeball
53,fingerprint
54,firearm
55,firefighter
56,fireplace
57,fireproof
58,fireworks
59,fishtail
60,football
61,footprint
62,forecast
63,foresee
64,forget
65,forgive
66,fourfold
67,friendship
68,gentleman
69,goldfish
70,goldfish
71,grandfather
72,grandmother
73,grandstand
74,grasshopper
75,graveyard
76,greenhouse
77,groundnut
78,hailstorm
79,hallway
80,handcuff
81,headache
82,headlight
83,headmaster
84,headmistress
85,heartbeat
86,heartbroken
87,highway
88,homework
89,honeycomb
90,hookworm
91,horsefly
92,houseboat
93,inside
94,jawbone
95,ladybug
96,landlady
97,landlord
98,leadership
99,leaflet
100,lengthwise
101,lighthouse
102,loudspeaker
103,masterpiece
104,matchstick
105,meatball
106,moonlight
107,myself
108,necktie
109,newspaper
110,nobody
111,offhand
112,online
113,otherwise
114,outdoor
115,outfield
116,outfit
117,outgrow
118,outlaw
119,outlet
120,outnumber
121,outpatient
122,outside
123,overboard
124,overdose
125,overdue
126,pancake
127,partnership
128,penknife
129,photocopy
130,playground
131,playroom
132,popcorn
133,postman
134,railway
135,rainbow
136,raindrops
137,rattlesnake
138,ringworm
139,sandbags
140,sandcastle
141,sandpaper
142,seafood
143,seashore
144,seaweed
145,shipwreck
146,shoestring
147,shortbread
148,skateboard
149,skyscraper
150,snowboard
151,snowstorm
152,something
153,soundproof
154,spaceship
155,staircase
156,starlight
157,stomachache
158,strawberry
159,sunlight
160,sunshine
161,superhuman
162,superimpose
163,supernatural
164,surfboard
165,tailgate
166,teacup
167,teapot
168,thunderstorm
169,tightrope
170,timetable
171,tombstone
172,toolbox
173,toothbrush
174,understand
175,wallpaper
176,wardrobe
177,warship
178,watermelon
179,waterproof
180,weekend
181,wheelbarrow
182,wheelchair
183,woodcutter
184,woodland
185,woodpile
186,woodshed
187,woodwork
188,woodworm
189,yourself
