,vocab
0,Afghan Hound
1,Airedale
2,Airedale Terrier
3,Basenji
4,Basset Hound
5,Beagle
6,Bloodhound
7,Border Collie
8,Boxer
9,Bulldog
10,Chihuahua
11,Chow Chow
12,Cocker Spaniel
13,Corgi
14,Dachshund
15,Dalmatian
16,Doberman
17,Fox Terrier
18,German Shepherd
19,Golden Retriever
20,Great Dane
21,Greyhound
22,Irish Setter
23,Labrador
24,Lhasa Apso
25,Newfoundland
26,Pekingese
27,Pit Bull Terrier
28,Pointer
29,Pomeranian
30,Poodle
31,Saint Bernard
32,Schnauzer
33,Scottish Terrier
34,Sheepdog
35,Shih Tzu
36,Siberian Husky
37,Spaniel
38,Spitz
