,vocab
0,air conditioner
1,apartment
2,ashtray
3,attic
4,basement
5,bathroom
6,bath tub
7,bed
8,bedding
9,bedroom
10,blanket
11,bolt
12,bookcase
13,brick
14,carpet
15,ceiling
16,cellar
17,cement
18,chair
19,chimney
20,closet
21,concrete
22,couch
23,curtain
24,cushion
25,desk
26,dining room
27,door
28,doorstep
29,drapes
30,dresser
31,fan
32,faucet
33,fireplace
34,floor
35,foundation
36,furnace
37,furniture
38,glass
39,hall
40,hinge
41,key
42,lamp
43,living room
44,lock
45,mirror
46,nail
47,paint
48,picture
49,plaster
50,plumbing
51,plywood
52,porch
53,rafter
54,roof
55,room
56,rug
57,screw
58,shelf
59,sink
60,sofa
61,stairs
62,table
63,toilet
64,wall
65,window
66,wire
67,wood
