vocab,hotness
old,7950000000
crazy,7900000000
popular,5860000000
famous,5730000000
beautiful,5470000000
happy,5250000000
good-looking,4860000000
cute,4030000000
young,3740000000
creative,3670000000
middle class,2270000000
friendly,2090000000
rich,1560000000
interesting,1400000000
successful,1370000000
responsible,1280000000
lucky,1010000000
helpful,996000000
romantic,993000000
sad,936000000
poor,920000000
thin,772000000
practical,754000000
exciting,722000000
athletic,671000000
skinny,632000000
attractive,630000000
charming,566000000
dangerous,504000000
angry,466000000
confident,412000000
clever,406000000
careful,385000000
boring,316000000
brave,311000000
ugly,295000000
horrible,228000000
humble,211000000
crafty,178000000
energetic,152000000
cruel,139000000
wealthy,128000000
selfish,99200000
graceful,96900000
humorous,82600000
outgoing,81900000
dependable,81100000
amusing,67900000
overweight,67400000
careless,43900000
easygoing,32500000
unlucky,29400000
talkative,14700000
touchy,12900000
stingy,11100000
forgetful,10100000
likable,10000000
inconsiderate,7340000
