vocab,hotness
by and by,25270000000
from time to time,16360000000
at the same time as,13950000000
for a long time,9680000000
after,8610000000
today,7540000000
long ago,6350000000
before,6130000000
now and then,5810000000
many times,5410000000
many years ago,5260000000
during,5210000000
always,4810000000
last week,4520000000
never,4390000000
once in a while,3130000000
in a few minutes,3000000000
later than,2940000000
soon,2540000000
recently,2150000000
often,1800000000
frequently,1720000000
usually,1690000000
once upon a time,1600000000
occasionally,1420000000
sometimes,1310000000
tomorrow,940000000
yesterday,924000000
earlier than,894000000
lately,240000000
rarely,236000000
afterwards,212000000
in the mornings,99700000
