vocab,hotness
bear,1540000000
lion,871000000
tiger,795000000
wolf,738000000
puma,585000000
panda,519000000
monkey,460000000
snake,437000000
elephant,434000000
jaguar,407000000
llama,335000000
leopard,270000000
zebra,262000000
zebra,262000000
cougar,255000000
panther,238000000
camel,198000000
beaver,152000000
gorilla,130000000
giraffe,117000000
crocodile,114000000
alligator,114000000
kangaroo,102000000
lynx,102000000
anteater,96300000
cheetah,76600000
bobcat,67200000
badger,65900000
ostrich,65300000
gazelle,58700000
rhinoceros,34500000
porcupine,24700000
armadillo,22400000
hyena,17800000
wallaby,14900000
ocelot,14000000
baboon,13500000
aardvark,7530000
