vocab,hotness
manager,7890000000
check,5400000000
customer,4170000000
money,3650000000
security guard,1140000000
foreign exchange,949000000
joint account,825000000
loan,813000000
time deposit account,578000000
deposit,550000000
savings account,515000000
checking account,467000000
foreign currency rate,449000000
coins,445000000
ATM,432000000
bills,315000000
teller,165000000
vault,160000000
burglar alarm,23600000
bounced check,22200000
forgery,21100000
passbook,9930000
bankbook,1800000
withdrawl,1690000
