vocab,hotness
ball,3080000000
run,2960000000
short stop,2920000000
field,2470000000
cap,2360000000
four ball,1960000000
hit,1830000000
walk,1610000000
home plate,1240000000
coach,1120000000
major league,1060000000
slide,958000000
catch,836000000
throw,827000000
helmet,683000000
bat,667000000
strike,600000000
strike out,551000000
runner,448000000
fence,420000000
curve,394000000
glove,378000000
pitch,349000000
steal,261000000
minor league,207000000
pitcher,125000000
catcher,121000000
batter,96200000
foul,90100000
foul line,82000000
bunt,81900000
scoreboard,46400000
inning,46100000
dugout,43500000
umpire,24500000
third baseman,13600000
first baseman,13100000
right fielder,13000000
second baseman,11100000
left fielder,10800000
