vocab,hotness
swallow,1930000000
turkey,1240000000
chick,682000000
eagle,577000000
duck,402000000
hen,287000000
drake,267000000
swan,241000000
raven,226000000
hawk,186000000
crow,184000000
crow,184000000
goose,165000000
condor,104000000
pelican,96500000
sparrow,91700000
heron,83900000
quail,63700000
pheasant,41300000
vulture,40500000
seagull,36900000
partridge,32200000
gosling,27700000
grouse,23200000
puffin,22400000
duckling,19800000
gander,18000000
buzzard,16300000
albatross,15400000
cormorant,10300000
ptarmigan,3450000
