vocab,hotness
back,9630000000
hand,7170000000
body,7090000000
hair,6030000000
face,5000000000
heart,4180000000
head,3950000000
eye,2880000000
leg,2610000000
skin,2450000000
chin,2270000000
neck,2210000000
finger,2120000000
hands,2090000000
eyes,1710000000
nail,1700000000
thumb,1690000000
shoulder,1630000000
feet,1610000000
foot,1580000000
muscle,1430000000
thumbs,1350000000
flesh,1250000000
arm,1170000000
blood,1170000000
chest,1150000000
ear,1130000000
mouth,1050000000
lip,1030000000
hip,970000000
cheek,964000000
nose,959000000
brain,923000000
knee,923000000
tooth,785000000
toe,774000000
wrist,747000000
throat,712000000
legs,698000000
bone,696000000
beard,592000000
moustache,573000000
elbow,540000000
ankle,487000000
fingers,446000000
tongue,385000000
stomach,350000000
teeth,340000000
ears,297000000
shoulders,243000000
toes,193000000
knees,181000000
