vocab,hotness
cookies,7290000000
cake,1690000000
pie,1220000000
coffee cake,958000000
white bread,674000000
brown bread,626000000
rolls,501000000
hard rolls,467000000
corn bread,421000000
sweet rolls,318000000
wheat bread,298000000
garlic bread,291000000
cheese sticks,192000000
rye bread,177000000
biscuits,155000000
pancakes,129000000
crackers,120000000
muffins,111000000
croissant,94500000
waffles,81300000
English muffins,48000000
sourdough bread,35500000
doughnuts,32300000
